

老于,#genre#
爱不等于一起,http://em.21dtv.com/songs/60006979.mkv
阿楚姑娘,http://em.21dtv.com/songs/60128103.mkv
爱的感觉,http://em.21dtv.com/songs/60007212.mkv
爱的供养,http://em.21dtv.com/songs/60099574.mkv
爱得好狼狈,http://em.21dtv.com/songs/60069172.mkv
爱的记忆,http://em.21dtv.com/songs/60007264.mkv
爱的伤痕累累,http://em.21dtv.com/songs/60100223.mkv
爱过了伤过了,http://em.21dtv.com/songs/60123072.mkv
爱来了,http://em.21dtv.com/songs/60007688.mkv
安妮,http://em.21dtv.com/songs/60157055.mkv
爱你的心,http://em.21dtv.com/songs/60007873.mkv
爱你更多(演唱会),http://em.21dtv.com/songs/60074403.mkv
angella,http://em.21dtv.com/songs/60000277.mkv
爱你想你忘记你,http://em.21dtv.com/songs/60154468.mkv
爱你依然,http://em.21dtv.com/songs/60125720.mkv
爱情的期限,http://em.21dtv.com/songs/60082508.mkv
爱情风雨,http://em.21dtv.com/songs/60156997.mkv
爱情港口,http://em.21dtv.com/songs/60063893.mkv
爱情结束得伤(舞曲版),http://em.21dtv.com/songs/60008272.mkv
爱情苦果,http://em.21dtv.com/songs/60063898.mkv
爱情四季,http://em.21dtv.com/songs/60008396.mkv
爱情网语,http://em.21dtv.com/songs/60084841.mkv
爱人就是我,http://em.21dtv.com/songs/60008571.mkv
爱上火柴的香烟,http://em.21dtv.com/songs/60126505.mkv
爱上你是我一生的宿命,http://em.21dtv.com/songs/60169126.mkv
爱上你这个无情的人,http://em.21dtv.com/songs/60065809.mkv
爱无界,http://em.21dtv.com/songs/60008954.mkv
爱在港岸,http://em.21dtv.com/songs/60112165.mkv
爱着你,http://em.21dtv.com/songs/60009231.mkv
不爱我就离开我,http://em.21dtv.com/songs/60010976.mkv
爸爸妈妈放心吧,http://em.21dtv.com/songs/60086444.mkv
把悲伤留给自己,http://em.21dtv.com/songs/60091500.mkv
崩溃,http://em.21dtv.com/songs/60062568.mkv
别来纠缠我,http://em.21dtv.com/songs/60112799.mkv
斑马,http://em.21dtv.com/songs/60150800.mkv
不能怪,http://em.21dtv.com/songs/60074747.mkv
被男人伤过的女人,http://em.21dtv.com/songs/60114428.mkv
不如不爱,http://em.21dtv.com/songs/60104798.mkv
别傻了,http://em.21dtv.com/songs/60151021.mkv
别说你要走,http://em.21dtv.com/songs/60010704.mkv
不谈寂寞,http://em.21dtv.com/songs/60103859.mkv
别忘了咱爸妈,http://em.21dtv.com/songs/60164683.mkv
霸王虞情,http://em.21dtv.com/songs/60169012.mkv
不想和你说再见,http://em.21dtv.com/songs/60074770.mkv
不想又想(演唱会),http://em.21dtv.com/songs/60082668.mkv
不要拒绝我爱你,http://em.21dtv.com/songs/60126035.mkv
不要让我苦苦等太久,http://em.21dtv.com/songs/60135627.mkv
不要为分手找个理由,http://em.21dtv.com/songs/60166432.mkv
博状元,http://em.21dtv.com/songs/60145496.mkv
初,http://em.21dtv.com/songs/60169013.mkv
宠爱我,http://em.21dtv.com/songs/60125723.mkv
匆匆那年的你,http://em.21dtv.com/songs/60114970.mkv
成都之歌,http://em.21dtv.com/songs/60093630.mkv
出发啦,http://em.21dtv.com/songs/60064064.mkv
从分手到现在,http://em.21dtv.com/songs/60099598.mkv
彩虹桥,http://em.21dtv.com/songs/60074829.mkv
刺激2008之DJ,http://em.21dtv.com/songs/60089678.mkv
潮剧 迴肠百结泪斑斑,http://em.21dtv.com/songs/60167204.mkv
除了爱我们还能做什么,http://em.21dtv.com/songs/60104410.mkv
灿烂年华,http://em.21dtv.com/songs/60012018.mkv
除了你还有谁值得让我为她而流泪,http://em.21dtv.com/songs/60013055.mkv
纯情的小百合 (さゆり),http://em.21dtv.com/songs/60084995.mkv
从前慢,http://em.21dtv.com/songs/60128097.mkv
唱首情歌给谁听,http://em.21dtv.com/songs/60012342.mkv
传说中的爱情,http://em.21dtv.com/songs/60061111.mkv
传说中的爱情有没有,http://em.21dtv.com/songs/60062569.mkv
春天后母面,http://em.21dtv.com/songs/60136787.mkv
春天再唱响,http://em.21dtv.com/songs/60146272.mkv
初一到十五,http://em.21dtv.com/songs/60013038.mkv
初一到十五(演唱会),http://em.21dtv.com/songs/60013037.mkv
第八天,http://em.21dtv.com/songs/60111478.mkv
迪迪娜版,http://em.21dtv.com/songs/60110037.mkv
到底你在想什么,http://em.21dtv.com/songs/60091376.mkv
第二梦,http://em.21dtv.com/songs/60015177.mkv
大海2006,http://em.21dtv.com/songs/60013950.mkv
打龙袍,http://em.21dtv.com/songs/60013801.mkv
等你告诉我,http://em.21dtv.com/songs/60014987.mkv
等你回来,http://em.21dtv.com/songs/60062683.mkv
当你开口,http://em.21dtv.com/songs/60014556.mkv
大鹏展翅的地方,http://em.21dtv.com/songs/60130650.mkv
打神告庙-告庙,http://em.21dtv.com/songs/60013822.mkv
稻田,http://em.21dtv.com/songs/60150454.mkv
等我回来,http://em.21dtv.com/songs/60015033.mkv
当我离开部队的时候,http://em.21dtv.com/songs/60111717.mkv
窦王岭上嗨起来,http://em.21dtv.com/songs/60128844.mkv
当我松开你的手,http://em.21dtv.com/songs/60014623.mkv
大庾情,http://em.21dtv.com/songs/60115699.mkv
第一千滴泪,http://em.21dtv.com/songs/60015273.mkv
第一千滴眼泪,http://em.21dtv.com/songs/60088592.mkv
惦在东京的街路上,http://em.21dtv.com/songs/60164649.mkv
分别别多久,http://em.21dtv.com/songs/60157411.mkv
Feeling,http://em.21dtv.com/songs/60081100.mkv
feeling good,http://em.21dtv.com/songs/60073203.mkv
凤凰缘,http://em.21dtv.com/songs/60098126.mkv
风声鹤淚,http://em.21dtv.com/songs/60088593.mkv
风声鹤唳(演唱会),http://em.21dtv.com/songs/60017367.mkv
分手后你要过的幸福,http://em.21dtv.com/songs/60017077.mkv
风声鹤起,http://em.21dtv.com/songs/60017368.mkv
分手以后别在想起我,http://em.21dtv.com/songs/60166086.mkv
非同寻常,http://em.21dtv.com/songs/60016940.mkv
非同寻常(演唱会),http://em.21dtv.com/songs/60016939.mkv
放下的时候,http://em.21dtv.com/songs/60153169.mkv
佛音,http://em.21dtv.com/songs/60136903.mkv
风雨战神,http://em.21dtv.com/songs/60112166.mkv
告白,http://em.21dtv.com/songs/60018266.mkv
嘎达梅林,http://em.21dtv.com/songs/60017793.mkv
孤儿不孤,http://em.21dtv.com/songs/60093631.mkv
哥好色,http://em.21dtv.com/songs/60101401.mkv
过了今夜不说再见,http://em.21dtv.com/songs/60019497.mkv
姑娘的心,http://em.21dtv.com/songs/60018943.mkv
过年过的是团圆,http://em.21dtv.com/songs/60151138.mkv
姑娘十八一朵花(演唱会),http://em.21dtv.com/songs/60018957.mkv
告诉她我爱她,http://em.21dtv.com/songs/60018293.mkv
故乡的亲人,http://em.21dtv.com/songs/60019087.mkv
故乡探雨,http://em.21dtv.com/songs/60132258.mkv
