

🇨🇳｜浙江高清,#genre#

CCTV1HD,http://h.berr.cn:3000/udp/225.0.0.25:6140$7M
CCTV1HD,http://h.berr.cn:3000/udp/225.0.1.1:6140$2M
CCTV1HD,http://h.berr.cn:3000/udp/225.0.1.145:6140$7M
CCTV2HD,http://h.berr.cn:3000/udp/225.0.0.190:6140$7M
CCTV3HD,http://h.berr.cn:3000/udp/225.0.0.27:6140$7M
CCTV3HD,http://h.berr.cn:3000/udp/225.0.1.4:6140$2M
CCTV4HD,http://h.berr.cn:3000/udp/225.0.0.191:6140$7M
CCTV4HD,http://h.berr.cn:3000/udp/225.0.1.3:6140$2M
CCTV5HD,http://h.berr.cn:3000/udp/225.0.0.29:6140
CCTV5HD,http://h.berr.cn:3000/udp/225.0.1.5:6140
CCTV5+HD,http://bxny.667789.cn:55055/udp/229.58.190.154:5000
CCTV6HD,http://h.berr.cn:3000/udp/225.0.0.30:6140$7M
CCTV6HD,http://h.berr.cn:3000/udp/225.0.1.6:6140$3M
CCTV7HD,http://h.berr.cn:3000/udp/225.0.0.210:6140
CCTV8HD,http://h.berr.cn:3000/udp/225.0.0.32:6140
CCTV9HD,http://h.berr.cn:3000/udp/225.0.0.211:6140
CCTV10HD,http://h.berr.cn:3000/udp/225.0.0.212:6140
CCTV11HD,http://h.berr.cn:3000/udp/225.0.0.227:6140
CCTV12HD,http://h.berr.cn:3000/udp/225.0.0.213:6140
CCTV13HD,http://h.berr.cn:3000/udp/225.0.0.228:6140
CCTV14HD,http://h.berr.cn:3000/udp/225.0.0.214:6140
CCTV15HD,http://h.berr.cn:3000/udp/225.0.0.229:6140
CCTV16HD,http://h.berr.cn:3000/udp/225.0.0.180:6140
CCTV17HD,http://h.berr.cn:3000/udp/225.0.0.215:6140
CCTV4K超高清,http://h.berr.cn:3000/udp/225.0.0.127:6140
CETV1超清,http://h.berr.cn:3000/udp/225.0.0.66:6140
CETV4HD,http://h.berr.cn:3000/udp/225.0.0.230:6140
东方卫视HD,http://h.berr.cn:3000/udp/225.0.0.2:6140$7M
东方卫视HD,http://h.berr.cn:3000/udp/225.0.1.2:6140$2M
湖南卫视HD,http://h.berr.cn:3000/udp/225.0.0.55:6140$7M
湖南卫视HD,http://h.berr.cn:3000/udp/225.0.1.8:6140
江苏卫视HD,http://h.berr.cn:3000/udp/225.0.0.53:6140$7M
江苏卫视HD,http://h.berr.cn:3000/udp/225.0.1.10:6140$3M
北京卫视HD,http://h.berr.cn:3000/udp/225.0.0.52:6140$7M
北京卫视HD,http://h.berr.cn:3000/udp/225.0.1.9:6140$3M
浙江卫视HD,http://h.berr.cn:3000/udp/225.0.0.54:6140
天津卫视HD,http://h.berr.cn:3000/udp/225.0.0.59:6140
广东卫视HD,http://h.berr.cn:3000/udp/225.0.0.63:6140
深圳卫视HD,http://h.berr.cn:3000/udp/225.0.0.64:6140
山东卫视HD,http://h.berr.cn:3000/udp/225.0.0.56:6140
安徽卫视HD,http://h.berr.cn:3000/udp/225.0.0.58:6140
湖北卫视HD,http://h.berr.cn:3000/udp/225.0.0.62:6140
辽宁卫视HD,http://h.berr.cn:3000/udp/225.0.0.61:6140
江西卫视HD,http://h.berr.cn:3000/udp/225.0.0.60:6140
四川卫视HD,http://h.berr.cn:3000/udp/225.0.0.67:6140
东南卫视HD,http://h.berr.cn:3000/udp/225.0.0.65:6140
重庆卫视HD,http://h.berr.cn:3000/udp/225.0.0.68:6140
河南卫视HD,http://h.berr.cn:3000/udp/225.0.0.192:6140
广西卫视HD,http://h.berr.cn:3000/udp/225.0.0.194:6140
云南卫视HD,http://h.berr.cn:3000/udp/225.0.0.193:6140
吉林卫视HD,http://h.berr.cn:3000/udp/225.0.0.195:6140
河北卫视HD,http://h.berr.cn:3000/udp/225.0.0.143:6140
甘肃卫视HD,http://h.berr.cn:3000/udp/225.0.0.224:6140
贵州卫视HD,http://h.berr.cn:3000/udp/225.0.0.78:6140
海南卫视HD,http://h.berr.cn:3000/udp/225.0.0.83:6140
黑龙江卫视HD,http://h.berr.cn:3000/udp/225.0.0.57:6140
青海卫视超清,http://h.berr.cn:3000/udp/225.0.0.235:6140
欢笑剧场4K,http://h.berr.cn:3000/udp/225.0.0.158:6140
City都市剧场HD,http://h.berr.cn:3000/udp/225.0.0.157:6140
金鹰纪实HD,http://h.berr.cn:3000/udp/225.0.0.144:6140
金鹰卡通HD,http://h.berr.cn:3000/udp/225.0.0.236:6140
哈哈炫动HD,http://h.berr.cn:3000/udp/225.0.0.208:6140
卡酷少儿HD,http://h.berr.cn:3000/udp/225.0.0.220:6140
卡酷少儿HD,http://h.berr.cn:3000/udp/225.0.1.7:6140
茶频道HD,http://h.berr.cn:3000/udp/225.0.0.206:6140
快乐垂钓HD,http://h.berr.cn:3000/udp/225.0.0.207:6140
金色学堂HD,http://h.berr.cn:3000/udp/225.0.0.159:6140
法制天地HD,http://h.berr.cn:3000/udp/225.0.0.160:6140
动漫秀场HD,http://h.berr.cn:3000/udp/225.0.0.161:6140
生活时尚HD,http://h.berr.cn:3000/udp/225.0.0.163:6140
乐游HD,http://h.berr.cn:3000/udp/225.0.0.164:6140
上海都市HD,http://h.berr.cn:3000/udp/225.0.0.3:6140
东方影视HD,http://h.berr.cn:3000/udp/225.0.0.5:6140
上海新闻综合HD,http://h.berr.cn:3000/udp/225.0.0.1:6140
上海五星体育HD,http://h.berr.cn:3000/udp/225.0.0.8:6140
