🇨🇳｜河南联通,#genre#

CCTV-1高清,http://219.156.51.133:9999/rtp/225.1.4.73:1102
CCTV-2高清,http://219.156.51.133:9999/rtp/225.1.4.74:1103
CCTV-3高清,http://219.156.51.133:9999/rtp/225.1.4.158:1194
CCTV-4高清,http://219.156.51.133:9999/rtp/225.1.5.30:1333
CCTV-5高清,http://219.156.51.133:9999/rtp/225.1.4.159:1195
CCTV-5＋高清,http://219.156.51.133:9999/rtp/225.1.4.75:1104
CCTV-6高清,http://219.156.51.133:9999/rtp/225.1.4.160:1196
CCTV-7高清,http://219.156.51.133:9999/rtp/225.1.4.76:1105
CCTV-8高清,http://219.156.51.133:9999/rtp/225.1.4.161:1197
CCTV-9高清,http://219.156.51.133:9999/rtp/225.1.4.77:1106
CCTV-10高清,http://219.156.51.133:9999/rtp/225.1.4.78:1107
CCTV-11高清,http://219.156.51.133:9999/rtp/225.1.4.215:1268
CCTV-12高清,http://219.156.51.133:9999/rtp/225.1.4.79:1108
CCTV-13高清,http://219.156.51.133:9999/rtp/225.1.4.113:1293
CCTV-14高清,http://219.156.51.133:9999/rtp/225.1.4.80:1109
CCTV-15高清,http://219.156.51.133:9999/rtp/225.1.4.216:1269
CCTV-16高清,http://219.156.51.133:9999/rtp/225.1.5.46:1356
CCTV-17高清,http://219.156.51.133:9999/rtp/225.1.4.226:2506
CGTN,http://219.156.51.133:9999/rtp/225.1.4.16:1045

河南卫视,http://49.232.131.30:99/dxxw.php?id=hnws
河南都市,http://49.232.131.30:99/dxxw.php?id=hnds
河南民生,http://49.232.131.30:99/dxxw.php?id=hnms
河南法治,http://49.232.131.30:99/dxxw.php?id=hmfz
河南电视剧,http://49.232.131.30:99/dxxw.php?id=hndsj
河南新闻,http://49.232.131.30:99/dxxw.php?id=hnxw
河南公共,http://49.232.131.30:99/dxxw.php?id=hngg
河南乡村,http://49.232.131.30:99/dxxw.php?id=hnxc
河南梨园,http://49.232.131.30:99/dxxw.php?id=hnly
河南文物宝库,http://49.232.131.30:99/dxxw.php?id=wwbk
河南武术世界,http://49.232.131.30:99/dxxw.php?id=wspd
河南睛彩中原,http://49.232.131.30:99/dxxw.php?id=jczy
河南移动戏曲,http://49.232.131.30:99/dxxw.php?id=ydxj
河南象视界,http://49.232.131.30:99/dxxw.php?id=xsj
CCTV6,http://49.232.131.30:99/1905.php?id=cctv6
国内电影1905,http://49.232.131.30:99/1905.php?id=1905b
国外电影1905,http://49.232.131.30:99/1905.php?id=1905a



河南卫视,http://219.156.51.133:9999/rtp/225.1.4.98:1127
河南4K试验,http://219.156.51.133:9999/rtp/225.1.4.254:1300
河南民生,http://219.156.51.133:9999/rtp/225.1.4.53:1082
河南法治,http://219.156.51.133:9999/rtp/225.1.4.54:1083
河南电视剧,http://219.156.51.133:9999/rtp/225.1.4.55:1084
河南新闻,http://219.156.51.133:9999/rtp/225.1.4.56:1085
河南公共,http://219.156.51.133:9999/rtp/225.1.4.58:1087
河南乡村,http://219.156.51.133:9999/rtp/225.1.4.120:1149
河南国际,http://219.156.51.133:9999/rtp/225.1.4.102:1131
河南都市,http://219.156.51.133:9999/rtp/225.1.4.52:1081
河南移动电视,http://219.156.51.133:9999/rtp/225.1.5.40:1350
河南文物宝库,http://219.156.51.133:9999/rtp/225.1.4.100:1129
河南梨园频道,http://219.156.51.133:9999/rtp/225.1.4.99:1128
河南武术世界,http://219.156.51.133:9999/rtp/225.1.4.101:1130
睛彩中原,http://219.156.51.133:9999/rtp/225.1.4.163:1203
移动戏曲,http://219.156.51.133:9999/rtp/225.1.4.206:1254
驻马店新闻综合,http://219.156.51.133:9999/rtp/225.1.4.132:1168
