
央视,#genre#
CCTV1,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226119/index.m3u8
CCTV2,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226079/index.m3u8
CCTV3,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226092/index.m3u8
CCTV5,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226027/index.m3u8
CCTV5+,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226128/index.m3u8
CCTV11,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226123/index.m3u8
CCTV12,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
CCTV12,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226130/index.m3u8
CCTV13,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226077/index.m3u8
CCTV13,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226125/index.m3u8
CCTV14,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226132/index.m3u8
CCTV15,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226127/index.m3u8
CCTV16,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225708/index.m3u8
CCTV.com,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225547/index.m3u8

卫视,#genre#
北京卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
北京卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
东方卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225942/index.m3u8
东南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225950/index.m3u8
安徽卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225925/index.m3u8
北京纪实科教,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
广东卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225966/index.m3u8
广西卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226091/index.m3u8
贵州卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225974/index.m3u8
海南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225978/index.m3u8
河北卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225988/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225985/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226056/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226060/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226068/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226099/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226115/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226117/index.m3u8
黑龙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226122/index.m3u8
湖北卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225569/index.m3u8
湖北卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225975/index.m3u8
湖南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225977/index.m3u8
江苏卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225938/index.m3u8
江西卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225935/index.m3u8
吉林卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225981/index.m3u8
深圳卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
深圳卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225943/index.m3u8
四川卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225970/index.m3u8
天津卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225972/index.m3u8
辽宁卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226089/index.m3u8
浙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225959/index.m3u8
重庆卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225963/index.m3u8
山东卫视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225952/index.m3u8

剧场,#genre#

爱情喜剧,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225533/index.m3u8
超级电视剧,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225637/index.m3u8
超级电影,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225644/index.m3u8
超级体育,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
超级综艺,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225642/index.m3u8
潮婆辣妈,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225542/index.m3u8
电视剧,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225521/index.m3u8
东北热剧,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225679/index.m3u8
古装剧场,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225524/index.m3u8
哈尔滨新闻综合,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226093/index.m3u8
黑龙江都市,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225969/index.m3u8
黑龙江农业科教,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225994/index.m3u8
黑龙江少儿,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225979/index.m3u8
黑龙江文体,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225965/index.m3u8
黑龙江新闻法治,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225967/index.m3u8
黑龙江影视,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225973/index.m3u8
黑莓电影,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
黑莓动画,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225529/index.m3u8
欢乐剧场,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225682/index.m3u8
纪实人文,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
家庭剧场,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225538/index.m3u8
金牌综艺,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225525/index.m3u8
惊悚悬疑,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225553/index.m3u8
精品大剧,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225536/index.m3u8
精品记录,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225545/index.m3u8
精品体育,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225526/index.m3u8
军旅剧场,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225560/index.m3u8
军事评论,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225535/index.m3u8
咪咕视频1,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225611/index.m3u8
咪咕视频2,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
咪咕视频3,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
农业致富,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225552/index.m3u8
求索,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225713/index.m3u8
炫舞未来,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225646/index.m3u8
怡伴健康,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225571/index.m3u8
中国功夫,http://39.134.67.4/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8

美丽中国,#genre#

贡嘎雪山,https://gctxyc.liveplay.myqcloud.com/gc/emsyh_1/index.m3u8?contentid=2820180516001
广州塔和海心桥,https://gcalic.v.myalicdn.com/gc/ztb_1/index.m3u8?contentid=2820180516001
哈尼梯田,http://gcalic.v.myalicdn.com/gc/hnttpgsz_1/index.m3u8
河南二七塔,http://gctxyc.liveplay.myqcloud.com/gc/xysrf_1_md.m3u8
黄花城水长城02,http://gctxyc.liveplay.myqcloud.com/gc/wgw02_1/index.m3u8
