熊猫频道,#genre#

熊猫频道0,https://gcwbndks.v.kcdnvip.com/gcwbnd/ipanda1000_2/index.m3u8
熊猫频道1,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8
熊猫频道2,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao02_2/index.m3u8
熊猫频道3,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao03_2/index.m3u8
熊猫频道4,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao04_2/index.m3u8
熊猫频道5,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao05_2/index.m3u8
熊猫频道6,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao06_2/index.m3u8
熊猫频道7,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao07_2/index.m3u8
熊猫频道8,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao08_2/index.m3u8
熊猫频道9,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao09_2/index.m3u8
熊猫频道10,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao10_2/index.m3u8
熊猫频道11,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao11_2/index.m3u8
熊猫频道12,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao12_2/index.m3u8
熊猫频道13,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao13_2/index.m3u8
熊猫频道14,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao14_2/index.m3u8
熊猫频道15,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao15_2/index.m3u8
熊猫频道16,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao16_2/index.m3u8
熊猫频道17,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao17_2/index.m3u8
熊猫频道18,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao18_2/index.m3u8
熊猫频道19,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao19_2/index.m3u8
熊猫频道20,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao20_2/index.m3u8
熊猫频道21,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao21_2/index.m3u8
熊猫频道22,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao22_2/index.m3u8
熊猫频道23,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao23_2/index.m3u8
熊猫频道24,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao24_2/index.m3u8

历年春晚,#genre#	

春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8

央视频道,#genre#	

CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://223.95.111.98:5555/newlive/live/hls/2/live.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV3,http://223.95.111.98:5555/newlive/live/hls/3/live.m3u8
CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
CCTV4,http://223.95.111.98:5555/newlive/live/hls/4/live.m3u8
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV5,http://223.95.111.98:5555/newlive/live/hls/5/live.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV6,http://222.71.90.218:8888/newlive/live/hls/7/live.m3u8
